0.7086              precision    recall  f1-score   support

         0.0       0.75      0.75      0.75      1000
         1.0       0.76      0.81      0.78      1000
         2.0       0.66      0.65      0.66      1000
         3.0       0.50      0.53      0.51      1000
         4.0       0.69      0.66      0.67      1000
         5.0       0.64      0.58      0.61      1000
         6.0       0.73      0.78      0.75      1000
         7.0       0.76      0.71      0.74      1000
         8.0       0.81      0.82      0.82      1000
         9.0       0.79      0.79      0.79      1000

   micro avg       0.71      0.71      0.71     10000
   macro avg       0.71      0.71      0.71     10000
weighted avg       0.71      0.71      0.71     10000

0.839260513689              precision    recall  f1-score   support

         0.0       0.90      0.90      0.90       749
         1.0       0.77      0.96      0.86       807
         2.0       0.90      0.64      0.75       650
         3.0       0.66      0.82      0.73       531
         4.0       0.96      0.54      0.69       658
         5.0       0.81      0.83      0.82       580
         6.0       0.80      0.90      0.85       779
         7.0       0.85      0.89      0.87       715
         8.0       0.97      0.86      0.91       824
         9.0       0.85      0.96      0.90       793

   micro avg       0.84      0.84      0.84      7086
   macro avg       0.85      0.83      0.83      7086
weighted avg       0.85      0.84      0.84      7086

Total Instances = 7086; Num instances misclassified = 1139; Minimal noise = 0.012; Accuracy = 0.839260513689; classes= 0(749,73),1(807,33),2(650,231),3(531,98),4(658,305),5(580,98),6(779,75),7(715,82),8(824,112),9(793,32);0.770640659156              precision    recall  f1-score   support

         0.0       0.94      0.82      0.88       676
         1.0       0.84      0.84      0.84       774
         2.0       0.75      0.77      0.76       419
         3.0       0.39      0.91      0.55       433
         4.0       0.82      0.51      0.63       353
         5.0       0.63      0.83      0.72       482
         6.0       0.92      0.52      0.66       704
         7.0       0.91      0.71      0.80       633
         8.0       0.89      0.91      0.90       712
         9.0       0.91      0.81      0.86       761

   micro avg       0.77      0.77      0.77      5947
   macro avg       0.80      0.76      0.76      5947
weighted avg       0.83      0.77      0.78      5947

Total Instances = 5947; Num instances misclassified = 1364; Minimal noise = 0.024; Accuracy = 0.770640659156; classes= 0(676,119),1(774,124),2(419,95),3(433,40),4(353,173),5(482,83),6(704,341),7(633,183),8(712,65),9(761,141);0.660048003491              precision    recall  f1-score   support

         0.0       0.89      0.72      0.80       557
         1.0       0.83      0.65      0.73       650
         2.0       0.64      0.69      0.66       324
         3.0       0.32      0.94      0.48       393
         4.0       0.70      0.31      0.43       180
         5.0       0.58      0.74      0.65       399
         6.0       0.72      0.26      0.38       363
         7.0       0.87      0.56      0.68       450
         8.0       0.78      0.89      0.83       647
         9.0       0.92      0.53      0.67       620

   micro avg       0.66      0.66      0.66      4583
   macro avg       0.72      0.63      0.63      4583
weighted avg       0.75      0.66      0.67      4583

Total Instances = 4583; Num instances misclassified = 1558; Minimal noise = 0.036; Accuracy = 0.660048003491; classes= 0(557,155),1(650,227),2(324,100),3(393,24),4(180,124),5(399,105),6(363,269),7(450,196),8(647,68),9(620,290);0.647603305785              precision    recall  f1-score   support

         0.0       0.85      0.67      0.75       402
         1.0       0.76      0.45      0.56       423
         2.0       0.62      0.63      0.63       224
         3.0       0.40      0.94      0.56       369
         4.0       0.57      0.29      0.38        56
         5.0       0.67      0.70      0.68       294
         6.0       0.81      0.28      0.41        94
         7.0       0.92      0.48      0.63       254
         8.0       0.73      0.90      0.81       579
         9.0       0.89      0.35      0.51       330

   micro avg       0.65      0.65      0.65      3025
   macro avg       0.72      0.57      0.59      3025
weighted avg       0.73      0.65      0.64      3025

Total Instances = 3025; Num instances misclassified = 1066; Minimal noise = 0.048; Accuracy = 0.647603305785; classes= 0(402,133),1(423,233),2(224,82),3(369,21),4(56,40),5(294,88),6(94,68),7(254,132),8(579,56),9(330,213);0.715671260847              precision    recall  f1-score   support

         0.0       0.84      0.67      0.74       269
         1.0       0.69      0.43      0.53       190
         2.0       0.71      0.66      0.69       142
         3.0       0.55      0.97      0.70       348
         4.0       0.39      0.44      0.41        16
         5.0       0.79      0.61      0.69       206
         6.0       0.73      0.31      0.43        26
         7.0       0.94      0.37      0.53       122
         8.0       0.81      0.91      0.86       523
         9.0       0.80      0.44      0.56       117

   micro avg       0.72      0.72      0.72      1959
   macro avg       0.72      0.58      0.61      1959
weighted avg       0.75      0.72      0.70      1959

Total Instances = 1959; Num instances misclassified = 557; Minimal noise = 0.06; Accuracy = 0.715671260847; classes= 0(269,90),1(190,108),2(142,48),3(348,12),4(16,9),5(206,80),6(26,18),7(122,77),8(523,49),9(117,66);0.76604850214              precision    recall  f1-score   support

         0.0       0.80      0.63      0.70       179
         1.0       0.69      0.55      0.61        82
         2.0       0.64      0.62      0.63        94
         3.0       0.69      0.97      0.81       336
         4.0       0.67      0.57      0.62         7
         5.0       0.83      0.49      0.62       126
         6.0       0.60      0.38      0.46         8
         7.0       0.87      0.29      0.43        45
         8.0       0.84      0.89      0.86       474
         9.0       0.94      0.59      0.72        51

   micro avg       0.77      0.77      0.77      1402
   macro avg       0.76      0.60      0.65      1402
weighted avg       0.78      0.77      0.75      1402

