0.7086              precision    recall  f1-score   support

         0.0       0.75      0.75      0.75      1000
         1.0       0.76      0.81      0.78      1000
         2.0       0.66      0.65      0.66      1000
         3.0       0.50      0.53      0.51      1000
         4.0       0.69      0.66      0.67      1000
         5.0       0.64      0.58      0.61      1000
         6.0       0.73      0.78      0.75      1000
         7.0       0.76      0.71      0.74      1000
         8.0       0.81      0.82      0.82      1000
         9.0       0.79      0.79      0.79      1000

   micro avg       0.71      0.71      0.71     10000
   macro avg       0.71      0.71      0.71     10000
weighted avg       0.71      0.71      0.71     10000
maxpredicted=0.000000maxpredicted min=-1.035675
0.88794806661              precision    recall  f1-score   support

         0.0       0.94      0.91      0.92       749
         1.0       0.94      0.92      0.93       807
         2.0       0.87      0.80      0.83       650
         3.0       0.77      0.78      0.77       531
         4.0       0.79      0.91      0.85       658
         5.0       0.93      0.79      0.85       580
         6.0       0.82      0.97      0.89       779
         7.0       0.92      0.89      0.90       715
         8.0       0.97      0.89      0.93       824
         9.0       0.92      0.95      0.94       793

   micro avg       0.89      0.89      0.89      7086
   macro avg       0.89      0.88      0.88      7086
weighted avg       0.89      0.89      0.89      7086
maxpredicted=0.000000maxpredicted min=-1.097608
Total Instances = 7086; Num instances misclassified = 794; Minimal noise = 0.08; Accuracy = 0.88794806661; classes= 0(749,68),1(807,64),2(650,130),3(531,119),4(658,61),5(580,124),6(779,23),7(715,79),8(824,87),9(793,39);0.75826446281              precision    recall  f1-score   support

         0.0       0.87      0.76      0.81       681
         1.0       0.87      0.83      0.85       743
         2.0       0.72      0.64      0.68       520
         3.0       0.57      0.56      0.56       412
         4.0       0.66      0.76      0.71       597
         5.0       0.89      0.48      0.62       456
         6.0       0.57      0.99      0.72       756
         7.0       0.92      0.72      0.80       636
         8.0       0.94      0.72      0.82       737
         9.0       0.83      0.89      0.86       754

   micro avg       0.76      0.76      0.76      6292
   macro avg       0.78      0.73      0.74      6292
weighted avg       0.79      0.76      0.76      6292
maxpredicted=0.000000maxpredicted min=-1.079013
Total Instances = 6292; Num instances misclassified = 1521; Minimal noise = 0.16; Accuracy = 0.75826446281; classes= 0(681,166),1(743,126),2(520,187),3(412,183),4(597,143),5(456,238),6(756,11),7(636,181),8(737,203),9(754,83);0.66485013624              precision    recall  f1-score   support

         0.0       0.83      0.64      0.72       515
         1.0       0.80      0.71      0.75       617
         2.0       0.59      0.56      0.58       333
         3.0       0.53      0.41      0.46       229
         4.0       0.56      0.54      0.55       454
         5.0       0.88      0.32      0.47       218
         6.0       0.48      0.99      0.65       745
         7.0       0.88      0.55      0.68       455
         8.0       0.91      0.55      0.69       534
         9.0       0.78      0.78      0.78       671

   micro avg       0.66      0.66      0.66      4771
   macro avg       0.72      0.61      0.63      4771
weighted avg       0.72      0.66      0.66      4771
maxpredicted=0.000000maxpredicted min=-1.254255
Total Instances = 4771; Num instances misclassified = 1599; Minimal noise = 0.24; Accuracy = 0.66485013624; classes= 0(515,183),1(617,179),2(333,145),3(229,136),4(454,209),5(218,148),6(745,8),7(455,203),8(534,238),9(671,150);0.608448928121              precision    recall  f1-score   support

         0.0       0.83      0.54      0.66       332
         1.0       0.80      0.57      0.66       438
         2.0       0.54      0.40      0.46       188
         3.0       0.34      0.18      0.24        93
         4.0       0.51      0.47      0.49       245
         5.0       0.71      0.17      0.28        70
         6.0       0.48      0.99      0.65       737
         7.0       0.83      0.40      0.54       252
         8.0       0.91      0.46      0.61       296
         9.0       0.74      0.61      0.67       521

   micro avg       0.61      0.61      0.61      3172
   macro avg       0.67      0.48      0.52      3172
weighted avg       0.68      0.61      0.60      3172
maxpredicted=0.000000maxpredicted min=-1.004428
Total Instances = 3172; Num instances misclassified = 1242; Minimal noise = 0.32; Accuracy = 0.608448928121; classes= 0(332,152),1(438,190),2(188,112),3(93,76),4(245,131),5(70,58),6(737,10),7(252,152),8(296,160),9(521,201);0.641968911917              precision    recall  f1-score   support

         0.0       0.94      0.42      0.58       180
         1.0       0.83      0.47      0.60       248
         2.0       0.42      0.42      0.42        76
         3.0       0.36      0.24      0.29        17
         4.0       0.48      0.33      0.39       114
         5.0       0.00      0.00      0.00        12
         6.0       0.60      0.99      0.75       727
         7.0       0.70      0.28      0.40       100
         8.0       0.85      0.38      0.52       136
         9.0       0.74      0.55      0.63       320

   micro avg       0.64      0.64      0.64      1930
   macro avg       0.59      0.41      0.46      1930
weighted avg       0.69      0.64      0.62      1930
maxpredicted=0.000000maxpredicted min=-1.086938
Total Instances = 1930; Num instances misclassified = 691; Minimal noise = 0.4; Accuracy = 0.641968911917; classes= 0(180,105),1(248,132),2(76,44),3(17,13),4(114,76),5(12,12),6(727,8),7(100,72),8(136,85),9(320,144);0.721549636804              precision    recall  f1-score   support

         0.0       0.83      0.33      0.48        75
         1.0       0.75      0.34      0.46       116
         2.0       0.39      0.34      0.37        32
         3.0       0.00      0.00      0.00         4
         4.0       0.29      0.21      0.24        38
         5.0       0.00      0.00      0.00         0
         6.0       0.74      0.99      0.84       719
