0.7086              precision    recall  f1-score   support

         0.0       0.75      0.75      0.75      1000
         1.0       0.76      0.81      0.78      1000
         2.0       0.66      0.65      0.66      1000
         3.0       0.50      0.53      0.51      1000
         4.0       0.69      0.66      0.67      1000
         5.0       0.64      0.58      0.61      1000
         6.0       0.73      0.78      0.75      1000
         7.0       0.76      0.71      0.74      1000
         8.0       0.81      0.82      0.82      1000
         9.0       0.79      0.79      0.79      1000

   micro avg       0.71      0.71      0.71     10000
   macro avg       0.71      0.71      0.71     10000
weighted avg       0.71      0.71      0.71     10000
maxpredicted=0.000000maxpredicted min=-1.035675
0.872424499012              precision    recall  f1-score   support

         0.0       0.91      0.90      0.90       749
         1.0       0.92      0.92      0.92       807
         2.0       0.86      0.81      0.83       650
         3.0       0.72      0.75      0.73       531
         4.0       0.82      0.86      0.84       658
         5.0       0.87      0.72      0.79       580
         6.0       0.83      0.96      0.89       779
         7.0       0.90      0.88      0.89       715
         8.0       0.95      0.89      0.92       824
         9.0       0.91      0.94      0.93       793

   micro avg       0.87      0.87      0.87      7086
   macro avg       0.87      0.86      0.86      7086
weighted avg       0.87      0.87      0.87      7086
maxpredicted=0.000000maxpredicted min=-1.163600
Total Instances = 7086; Num instances misclassified = 904; Minimal noise = 0.1; Accuracy = 0.872424499012; classes= 0(749,78),1(807,62),2(650,126),3(531,133),4(658,90),5(580,160),6(779,33),7(715,83),8(824,93),9(793,46);0.84309285021              precision    recall  f1-score   support

         0.0       0.89      0.88      0.89       671
         1.0       0.88      0.88      0.88       745
         2.0       0.82      0.77      0.80       524
         3.0       0.69      0.69      0.69       398
         4.0       0.78      0.82      0.80       568
         5.0       0.85      0.69      0.76       420
         6.0       0.76      0.96      0.85       746
         7.0       0.91      0.83      0.87       632
         8.0       0.96      0.83      0.89       731
         9.0       0.86      0.93      0.89       747

   micro avg       0.84      0.84      0.84      6182
   macro avg       0.84      0.83      0.83      6182
weighted avg       0.85      0.84      0.84      6182
maxpredicted=0.000000maxpredicted min=-1.088407
Total Instances = 6182; Num instances misclassified = 970; Minimal noise = 0.2; Accuracy = 0.84309285021; classes= 0(671,78),1(745,89),2(524,119),3(398,124),4(568,105),5(420,132),6(746,32),7(632,110),8(731,126),9(747,55);0.822716807368              precision    recall  f1-score   support

         0.0       0.84      0.84      0.84       593
         1.0       0.89      0.86      0.88       656
         2.0       0.75      0.72      0.73       405
         3.0       0.65      0.65      0.65       274
         4.0       0.73      0.79      0.76       463
         5.0       0.92      0.68      0.78       288
         6.0       0.74      0.96      0.84       714
         7.0       0.91      0.81      0.86       522
         8.0       0.96      0.76      0.85       605
         9.0       0.85      0.91      0.88       692

   micro avg       0.82      0.82      0.82      5212
   macro avg       0.82      0.80      0.81      5212
weighted avg       0.83      0.82      0.82      5212
maxpredicted=0.000000maxpredicted min=-1.066813
Total Instances = 5212; Num instances misclassified = 924; Minimal noise = 0.3; Accuracy = 0.822716807368; classes= 0(593,97),1(656,91),2(405,114),3(274,97),4(463,97),5(288,93),6(714,32),7(522,100),8(605,144),9(692,59);0.816464552239              precision    recall  f1-score   support

         0.0       0.87      0.76      0.81       496
         1.0       0.87      0.86      0.86       565
         2.0       0.76      0.71      0.73       291
         3.0       0.59      0.58      0.58       177
         4.0       0.71      0.79      0.75       366
         5.0       0.89      0.61      0.73       195
         6.0       0.73      0.97      0.83       682
         7.0       0.92      0.76      0.83       422
         8.0       0.94      0.78      0.85       461
         9.0       0.85      0.92      0.88       633

   micro avg       0.82      0.82      0.82      4288
   macro avg       0.81      0.77      0.79      4288
weighted avg       0.83      0.82      0.82      4288
maxpredicted=0.000000maxpredicted min=-1.022845
Total Instances = 4288; Num instances misclassified = 787; Minimal noise = 0.4; Accuracy = 0.816464552239; classes= 0(496,119),1(565,80),2(291,84),3(177,75),4(366,78),5(195,76),6(682,21),7(422,100),8(461,102),9(633,52);0.817766352471              precision    recall  f1-score   support

         0.0       0.87      0.78      0.82       377
         1.0       0.90      0.80      0.85       485
         2.0       0.73      0.73      0.73       207
         3.0       0.57      0.68      0.62       102
         4.0       0.71      0.76      0.74       288
         5.0       0.89      0.48      0.62       119
         6.0       0.75      0.98      0.85       661
         7.0       0.95      0.77      0.85       322
         8.0       0.94      0.73      0.82       359
         9.0       0.84      0.90      0.87       581

   micro avg       0.82      0.82      0.82      3501
   macro avg       0.82      0.76      0.78      3501
weighted avg       0.83      0.82      0.82      3501
maxpredicted=0.000000maxpredicted min=-1.060360
Total Instances = 3501; Num instances misclassified = 638; Minimal noise = 0.5; Accuracy = 0.817766352471; classes= 0(377,82),1(485,97),2(207,55),3(102,33),4(288,68),5(119,62),6(661,13),7(322,73),8(359,97),9(581,58);0.804750261963              precision    recall  f1-score   support

         0.0       0.92      0.76      0.83       295
         1.0       0.85      0.77      0.81       388
         2.0       0.65      0.74      0.69       152
         3.0       0.65      0.57      0.60        69
         4.0       0.67      0.68      0.68       220
         5.0       0.94      0.53      0.67        57
         6.0       0.74      0.97      0.84       648
         7.0       0.91      0.71      0.80       249
